date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2022-01-01,Thailand,Indonesia,2.0,2.0,AFF Championship,Kallang,Singapore,True
2022-01-02,Gabon,Burkina Faso,0.0,3.0,Friendly,Dubai,United Arab Emirates,True
2022-01-02,Sudan,Zimbabwe,0.0,0.0,Friendly,Yaoundé,Cameroon,True
2022-01-03,Rwanda,Guinea,3.0,0.0,Friendly,Kigali,Rwanda,False
2022-01-04,Mauritania,Gabon,1.0,1.0,Friendly,Dubai,United Arab Emirates,True
2022-01-05,Algeria,Ghana,3.0,0.0,Friendly,Al Rayyan,Qatar,True
2022-01-06,Rwanda,Guinea,0.0,2.0,Friendly,Kigali,Rwanda,False
2022-01-09,Cameroon,Burkina Faso,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,False
2022-01-09,Ethiopia,Cape Verde,0.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-10,Senegal,Zimbabwe,1.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-10,Guinea,Malawi,1.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-10,Morocco,Ghana,1.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-10,Comoros,Gabon,0.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-11,Nigeria,Egypt,1.0,0.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-11,Sudan,Guinea-Bissau,0.0,0.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-11,Algeria,Sierra Leone,0.0,0.0,African Cup of Nations,Douala,Cameroon,True
2022-01-12,Iceland,Uganda,1.0,1.0,Friendly,Belek,Turkey,True
2022-01-12,Equatorial Guinea,Ivory Coast,0.0,1.0,African Cup of Nations,Douala,Cameroon,True
2022-01-12,Tunisia,Mali,0.0,1.0,African Cup of Nations,Limbé,Cameroon,True
2022-01-12,Mauritania,Gambia,0.0,1.0,African Cup of Nations,Limbé,Cameroon,True
2022-01-13,Cameroon,Ethiopia,4.0,1.0,African Cup of Nations,Yaoundé,Cameroon,False
2022-01-13,Cape Verde,Burkina Faso,0.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-14,Senegal,Guinea,0.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-14,Malawi,Zimbabwe,2.0,1.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-14,Morocco,Comoros,2.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-14,Gabon,Ghana,1.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-15,South Korea,Iceland,5.0,1.0,Friendly,Antalya,Turkey,True
2022-01-15,Nigeria,Sudan,3.0,1.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-15,Guinea-Bissau,Egypt,0.0,1.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-16,Colombia,Honduras,2.0,1.0,Friendly,Fort Lauderdale,United States,True
2022-01-16,Peru,Panama,1.0,1.0,Friendly,Lima,Peru,False
2022-01-16,Ivory Coast,Sierra Leone,2.0,2.0,African Cup of Nations,Douala,Cameroon,True
2022-01-16,Algeria,Equatorial Guinea,0.0,1.0,African Cup of Nations,Douala,Cameroon,True
2022-01-16,Gambia,Mali,1.0,1.0,African Cup of Nations,Limbé,Cameroon,True
2022-01-16,Tunisia,Mauritania,4.0,0.0,African Cup of Nations,Limbé,Cameroon,True
2022-01-17,Burkina Faso,Ethiopia,1.0,1.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-17,Cameroon,Cape Verde,1.0,1.0,African Cup of Nations,Yaoundé,Cameroon,False
2022-01-18,Moldova,Uganda,2.0,3.0,Friendly,Belek,Turkey,True
2022-01-18,Malawi,Senegal,0.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-18,Zimbabwe,Guinea,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-18,Gabon,Morocco,2.0,2.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-18,Ghana,Comoros,2.0,3.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-19,Egypt,Sudan,1.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-19,Guinea-Bissau,Nigeria,0.0,2.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-20,South Korea,Moldova,4.0,0.0,Friendly,Antalya,Turkey,True
