team,elo
Spain,2171
Argentina,2113
France,2063
England,2042
Colombia,1998
Brazil,1979
Portugal,1976
Netherlands,1959
Croatia,1933
Ecuador,1933
Norway,1922
Germany,1910
Switzerland,1897
Uruguay,1890
Turkey,1880
Japan,1879
Senegal,1869
Denmark,1864
Italy,1859
Belgium,1849
Mexico,1834
Paraguay,1833
Austria,1818
Morocco,1806
Canada,1806
Ukraine,1802
Scotland,1790
South Korea,1784
Russia,1782
Australia,1774
Serbia,1769
Greece,1761
Iran,1754
United States,1747
Panama,1743
Nigeria,1739
Poland,1735
Uzbekistan,1735
Czech Republic,1731
Chile,1731
Algeria,1728
Wales,1715
Venezuela,1715
Kosovo,1714
Peru,1708
Hungary,1698
Slovenia,1695
Jordan,1691
Ireland,1688
Slovakia,1687
Bolivia,1665
Albania,1664
Sweden,1660
Egypt,1660
Georgia,1650
Romania,1642
DR Congo,1639
Ivory Coast,1637
Costa Rica,1632
Israel,1631
Tunisia,1614
Cameroon,1606
Northern Ireland,1602
North Macedonia,1592
Saudi Arabia,1592
Mali,1589
New Zealand,1586
Iraq,1583
Bosnia and Herzegovina,1571
Honduras,1567
Iceland,1566
Cape Verde,1561
Haiti,1542
Angola,1541
United Arab Emirates,1540
Burkina Faso,1533
Jamaica,1530
South Africa,1529
Guatemala,1526
Ghana,1509
Finland,1509
Qatar,1427
Curacao,1467
