rank,team
1,France
2,Spain
3,England
4,Brazil
5,Portugal
6,Netherlands
7,Argentina
8,Germany
9,Norway
10,Belgium
11,Senegal
12,Turkey
13,Morocco
14,Colombia
15,Uruguay
16,Ecuador
17,Switzerland
18,Croatia
19,Ivory Coast
20,Japan
21,Sweden
22,United States
23,Austria
24,Mexico
25,Algeria
26,Scotland
27,Paraguay
28,Czech Republic
29,Canada
30,South Korea
31,DR Congo
32,Australia
33,Egypt
34,Uzbekistan
35,Ghana
36,Bosnia and Herzegovina
37,Panama
38,Iran
39,Jordan
40,Tunisia
41,New Zealand
42,Haiti
43,Saudi Arabia
44,Iraq
45,South Africa
46,Cape Verde
47,Curacao
48,Qatar
