team,odds_american
Spain,+500
France,+500
England,+650
Brazil,+800
Argentina,+850
Portugal,+1100
Germany,+1400
Netherlands,+2000
Norway,+3000
Belgium,+3500
Colombia,+4000
Morocco,+5000
Japan,+5000
United States,+6000
Uruguay,+6500
Mexico,+7500
Switzerland,+8000
Croatia,+8000
Ecuador,+9000
Turkey,+10000
Sweden,+10000
Senegal,+11000
Austria,+15000
Paraguay,+15000
Canada,+20000
Scotland,+20000
Czech Republic,+25000
Ivory Coast,+25000
Bosnia and Herzegovina,+25000
Egypt,+30000
Ghana,+30000
Algeria,+35000
South Korea,+45000
Iran,+50000
Australia,+50000
Tunisia,+50000
DR Congo,+70000
South Africa,+80000
Saudi Arabia,+100000
Panama,+100000
Qatar,+100000
Uzbekistan,+100000
New Zealand,+100000
Iraq,+100000
Cape Verde,+100000
Jordan,+200000
Curacao,+200000
Haiti,+250000
