team,implied_prob
France,0.180
Spain,0.170
England,0.113
Brazil,0.088
Portugal,0.089
Argentina,0.084
Germany,0.052
Netherlands,0.035
Norway,0.025
Belgium,0.019
Japan,0.018
Colombia,0.017
Morocco,0.015
United States,0.013
Uruguay,0.011
Mexico,0.011
Switzerland,0.010
Croatia,0.009
Ecuador,0.008
Senegal,0.008
Turkey,0.007
Austria,0.006
Sweden,0.006
Canada,0.005
South Korea,0.004
Paraguay,0.004
Scotland,0.004
Ivory Coast,0.004
Egypt,0.004
Ghana,0.003
Algeria,0.003
Bosnia and Herzegovina,0.003
Czech Republic,0.003
New Zealand,0.002
Jordan,0.002
Curacao,0.002
Iran,0.002
Tunisia,0.002
Uzbekistan,0.002
Panama,0.002
Iraq,0.002
South Africa,0.002
DR Congo,0.002
Cape Verde,0.002
Qatar,0.002
Australia,0.002
Saudi Arabia,0.002
Haiti,0.001
