team,espn_raw_prob,espn_prob,poly_prob,market_prob,model_prob,edge,edge_ratio,overround_espn
Spain,0.16666666666666666,0.14155368419575867,0.16037735849056603,0.15096552134316235,0.159,0.008034478656837651,1.053220620081683,0.17740959985314508
Argentina,0.10526315789473684,0.08940232686047916,0.07924528301886792,0.08432380493967354,0.1402,0.055876195060326456,1.662638445932333,0.17740959985314508
Brazil,0.1111111111111111,0.09436912279717245,0.0830188679245283,0.08869399536085038,0.0681,-0.02059399536085038,0.7678084601210716,0.17740959985314508
England,0.13333333333333333,0.11324294735660695,0.10660377358490566,0.1099233604707563,0.0672,-0.04272336047075631,0.6113350220754731,0.17740959985314508
Morocco,0.0196078431372549,0.016653374611265728,0.014150943396226414,0.015402159003746071,0.0615,0.04609784099625393,3.9929467021501424,0.17740959985314508
Portugal,0.08333333333333333,0.07077684209787934,0.08396226415094339,0.07736955312441136,0.0577,-0.019669553124411362,0.7457714006337554,0.17740959985314508
France,0.16666666666666666,0.14155368419575867,0.16981132075471697,0.15568250247523782,0.0526,-0.10308250247523781,0.33786712805677266,0.17740959985314508
Colombia,0.024390243902439025,0.020715173296940295,0.016037735849056604,0.018376454572998448,0.0497,0.03132354542700155,2.7045478115798782,0.17740959985314508
Japan,0.0196078431372549,0.016653374611265728,0.016981132075471694,0.016817253343368713,0.0433,0.026482746656631286,2.5747367370828016,0.17740959985314508
Netherlands,0.047619047619047616,0.040443909770216765,0.0330188679245283,0.03673138884737254,0.0415,0.004768611152627465,1.129823872776555,0.17740959985314508
Switzerland,0.012345679012345678,0.010485458088574717,0.009433962264150943,0.00995971017636283,0.0359,0.02594028982363717,3.604522557815057,0.17740959985314508
Ecuador,0.01098901098901099,0.009333209946973101,0.007547169811320755,0.008440189879146928,0.0348,0.026359810120853068,4.123129988577618,0.17740959985314508
Norway,0.03225806451612903,0.027397487263695227,0.02358490566037736,0.025491196462036292,0.0316,0.006108803537963711,1.2396436568625357,0.17740959985314508
Germany,0.06666666666666667,0.056621473678303474,0.0490566037735849,0.052839038725944185,0.0306,-0.022239038725944186,0.5791172727178187,0.17740959985314508
Senegal,0.009009009009009009,0.007651550497068037,0.007547169811320755,0.007599360154194396,0.0193,0.011700639845805605,2.539687501104622,0.17740959985314508
Austria,0.006622516556291391,0.005624649703142729,0.005660377358490566,0.005642513530816648,0.0153,0.009657486469183352,2.7115575206756506,0.17740959985314508
Uruguay,0.015151515151515152,0.012868516745068972,0.010377358490566037,0.011622937617817505,0.0153,0.003677062382182494,1.3163625671143329,0.17740959985314508
