team,P_advance_group,P_R32,P_R16,P_QF,P_SF,P_F,P_Champion
Spain,0.995,0.8252,0.5572,0.3481,0.2363,0.159,0.159
Argentina,0.9776,0.6616,0.4667,0.3067,0.2108,0.1402,0.1402
Brazil,0.9765,0.6759,0.4682,0.2723,0.1405,0.0681,0.0681
England,0.9718,0.6772,0.3797,0.2063,0.1194,0.0672,0.0672
Morocco,0.9478,0.6246,0.4013,0.2352,0.1219,0.0615,0.0615
Portugal,0.8873,0.5981,0.3625,0.2259,0.1137,0.0577,0.0577
France,0.9142,0.5142,0.3091,0.1901,0.1084,0.0526,0.0526
Colombia,0.8784,0.5826,0.3435,0.2109,0.1033,0.0497,0.0497
Japan,0.9015,0.5228,0.2901,0.1628,0.0919,0.0433,0.0433
Netherlands,0.9202,0.5377,0.2918,0.1575,0.083,0.0415,0.0415
Switzerland,0.9828,0.7111,0.4066,0.1825,0.0867,0.0359,0.0359
Ecuador,0.9473,0.4975,0.2668,0.1352,0.0706,0.0348,0.0348
Norway,0.8732,0.4429,0.2386,0.1317,0.0678,0.0316,0.0316
Germany,0.9811,0.5194,0.284,0.1463,0.0721,0.0306,0.0306
Senegal,0.812,0.3923,0.1969,0.1011,0.0464,0.0193,0.0193
Uruguay,0.8692,0.512,0.2412,0.1071,0.0367,0.0153,0.0153
Austria,0.8089,0.3615,0.1662,0.0816,0.0386,0.0153,0.0153
Croatia,0.911,0.474,0.2308,0.0992,0.0357,0.0131,0.0131
Belgium,0.8804,0.4607,0.1906,0.0853,0.0317,0.0099,0.0099
Canada,0.9362,0.4974,0.193,0.069,0.0245,0.007,0.007
Australia,0.7161,0.3258,0.1501,0.0526,0.0183,0.0063,0.0063
Algeria,0.7187,0.2804,0.118,0.0482,0.0171,0.0062,0.0062
Turkey,0.7457,0.3437,0.1621,0.0576,0.0173,0.0057,0.0057
Paraguay,0.7097,0.3205,0.1459,0.05,0.0164,0.0055,0.0055
Mexico,0.9122,0.432,0.166,0.055,0.0187,0.005,0.005
Ivory Coast,0.8449,0.3199,0.1174,0.0411,0.0144,0.004,0.004
DR Congo,0.4598,0.1878,0.0727,0.0275,0.0083,0.0027,0.0027
Egypt,0.707,0.2915,0.0985,0.0328,0.0091,0.0022,0.0022
Iran,0.7483,0.314,0.1062,0.0377,0.0094,0.002,0.002
Scotland,0.6843,0.2618,0.0947,0.0267,0.0072,0.0016,0.0016
Uzbekistan,0.3839,0.1429,0.0482,0.0155,0.0038,0.0011,0.0011
Tunisia,0.4183,0.1347,0.0444,0.0148,0.004,0.0009,0.0009
South Korea,0.7061,0.2551,0.0857,0.0242,0.0058,0.0008,0.0008
United States,0.573,0.1751,0.0565,0.0132,0.0024,0.0006,0.0006
Bosnia and Herzegovina,0.6048,0.1807,0.0364,0.007,0.0018,0.0005,0.0005
Sweden,0.4074,0.1258,0.0381,0.0095,0.0016,0.0004,0.0004
Czech Republic,0.6333,0.2046,0.0541,0.0108,0.0017,0.0003,0.0003
South Africa,0.4596,0.1113,0.0227,0.0051,0.0007,0.0002,0.0002
Ghana,0.3853,0.0971,0.0222,0.0045,0.0006,0.0001,0.0001
Cape Verde,0.3137,0.0795,0.0156,0.0026,0.0002,0.0001,0.0001
New Zealand,0.3464,0.0873,0.0179,0.003,0.0007,0.0001,0.0001
Panama,0.3013,0.0665,0.0135,0.0022,0.0002,0.0001,0.0001
Jordan,0.1774,0.0385,0.006,0.001,0.0001,0.0,0.0
Haiti,0.0865,0.0136,0.0015,0.0004,0.0,0.0,0.0
Saudi Arabia,0.2958,0.0707,0.0138,0.0018,0.0001,0.0,0.0
Iraq,0.1353,0.0313,0.0057,0.0004,0.0001,0.0,0.0
Qatar,0.1178,0.0165,0.0012,0.0,0.0,0.0,0.0
Curacao,0.035,0.0027,0.0001,0.0,0.0,0.0,0.0
